时间,白屏时间,用户可操作时间,总下载时间
1513613775662,1697,2044,23194
1513615390304,277,509,667
1513616128849,87,1768,2287
1513616286815,475,523,525
1513616653255,669,2155,2740
1513617534766,341,527,695
1513618262243,1414,3134,3157
1513625927186,313,522,700
1513626418431,NaN,NaN,NaN
1513630694091,181,363,718
1513631180498,184,355,438
1513633807591,25,916,1476
1513635587260,556,1042,1150
1513641500741,446,2578,2596
1513642857353,765,1013,1288
1513643084341,608,1181,1350
1513643280120,557,1498,1553
1513643606831,129,1800,2007
1513643808993,1632,1824,2822
1513643944194,336,515,950
1513644080702,979,1158,1415
1513644204407,1917,2120,2454
1513644276045,446,694,862
1513644303077,1683,1925,2613
1513644395237,530,919,1266
1513645327783,2871,2919,4637
1513645317592,307,493,737
1513645562912,NaN,NaN,NaN
1513645878560,1510,2625,2999
1513645986419,888,1231,1349
1513646147714,489,656,794
1513646211304,559,864,1015
1513646211304,525,1308,1474
1513646382983,673,954,1353
1513646509172,676,907,1091
1513646714594,1790,2059,2888
1513646735745,354,581,776
1513646799783,544,776,939
1513646923819,700,919,1995
1513647000207,1301,1486,2009
1513647077802,1006,1636,2382
1513647298283,247,1479,1599
1513647369044,324,533,726
1513647513253,248,1133,1413
1513647646999,314,603,750
1513647819589,474,628,838
1513647963527,457,705,826
1513648264830,533,896,1186
1513648291176,327,717,865
1513648406601,359,623,949
1513648421846,326,516,788
1513648480117,186,330,425
1513648537649,504,765,941
1513648613999,300,557,653
1513648741618,354,534,687
1513648779064,2187,2977,3603
1513648881248,2904,6729,8855
1513648904996,437,809,912
1513648981349,8883,14461,25102
1513649050454,253,480,633
1513649122181,436,589,750
1513649165869,668,858,1027
1513649292460,268,489,667
1513649334324,952,2117,3094
1513649471217,1602,1781,3510
1513649594002,554,3350,3441
1513649642923,974,1236,1381
1513649693750,282,825,879
1513649734064,400,975,1091
1513649837837,503,845,1028
1513649861226,1546,1886,13710
1513649926069,1977,2588,3957
1513650008049,568,903,2924
1513650063377,344,548,804
1513650391992,1027,1216,2325
1513650500217,850,1203,2240
1513650634229,10893,11245,11437
1513650777748,414,594,779
1513651152984,11094,11782,12197
1513651217826,726,1006,1476
1513651267214,395,1526,1621
1513651366522,11120,12099,12379
