时间,错误量
1514424422349,0
1514424432343,0
1514424442344,0
1514424452352,0
1514424462344,0
1514424472352,0
1514424482355,0
1514424492355,0
1514424502356,0
1514424512356,0
1514424522359,0
1514424532357,0
1514424542360,0
1514424552361,0
1514424562360,0
1514424572361,0
1514424582361,0
1514424592362,0
1514424611564,0
1514424621565,0
1514424631562,0
1514424641571,0
1514424662416,0
1514424672416,0
1514424682414,0
1514424692422,0
1514424702414,0
1514424712417,0
1514424722421,0
1514424732421,0
1514424742422,0
1514424752422,0
1514424762423,0
1514424772423,0
1514424782427,0
1514424792428,0
1514424802428,0
1514424812428,0
1514424822428,0
1514424832428,0
1514424842431,0
1514424867864,0
1514424877865,0
1514424887862,0
1514424897871,0
1514424907863,0
1514424928353,0
1514424938348,0
1514424948347,0
1514424958354,0
1514424968347,0
1514424978355,0
1514424988358,0
1514424998357,0
1514425008358,0
1514425018358,0
1514425060958,0
1514425070956,0
1514425100488,0
1514425110488,0
1514425120486,0
1514425130493,0
1514425140493,0
1514425150486,0
