时间,白屏时间,用户可操作时间,总下载时间
1511936983445,159,159,160
1511936984388,150,150,151
1511936984984,138,138,139
1511936985049,138,138,139
1511936985808,135,135,136
1511937031970,149,150,151
1511937033329,145,145,146
1511937033909,150,151,152
1511937035115,146,146,146
1511937049265,156,156,156
1511937050269,142,142,142
1511937051966,135,135,136
1511937053317,134,134,135
1512109368117,844,845,846
1512109546898,157,157,158
1512109549344,145,145,146
1512109552547,150,150,151
1512109555092,137,138,139
1512116669976,152,157,157
1512116722055,240,241,242
1512116762811,145,149,149
1512116768269,144,148,148
1512116790729,155,164,165
1512116803146,150,154,155
1512116835291,170,174,175
1512117103601,148,153,154
1512117108456,137,141,142
1512117151013,144,148,148
1512117228364,168,172,173
1512117457531,155,159,171
1512119783627,153,158,194
1512119786347,143,147,157
